"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"S4","AFG"," Total","Afghanistan","JOR","Jordan",2018,"Export",6,2796.481
"S4","AFG"," Total","Afghanistan","JPN","Japan",2018,"Export",6,162.889
"S4","AFG"," Total","Afghanistan","KAZ","Kazakhstan",2018,"Export",6,4442.887
"S4","AFG"," Total","Afghanistan","KGZ","Kyrgyz Republic",2018,"Export",6,15.111
"S4","AFG"," Total","Afghanistan","KWT","Kuwait",2018,"Export",6,87.853
"S4","AFG"," Total","Afghanistan","LBN","Lebanon",2018,"Export",6,1396.109
"S4","AFG"," Total","Afghanistan","MMR","Myanmar",2018,"Export",6,374.222
"S4","AFG"," Total","Afghanistan","MYS","Malaysia",2018,"Export",6,511.762
"S4","AFG"," Total","Afghanistan","NLD","Netherlands",2018,"Export",6,255.375
"S4","AFG"," Total","Afghanistan","NOR","Norway",2018,"Export",6,0.335
"S4","AFG"," Total","Afghanistan","NZL","New Zealand",2018,"Export",6,141.134
"S4","AFG"," Total","Afghanistan","OMN","Oman",2018,"Export",6,1.256
"S4","AFG"," Total","Afghanistan","PAK","Pakistan",2018,"Export",6,378244.208
"S4","AFG"," Total","Afghanistan","POL","Poland",2018,"Export",6,414.889
"S4","AFG"," Total","Afghanistan","PRT","Portugal",2018,"Export",6,13.305
"S4","AFG"," Total","Afghanistan","QAT","Qatar",2018,"Export",6,10.765
"S4","AFG"," Total","Afghanistan","ROM","Romania",2018,"Export",6,298.842
"S4","AFG"," Total","Afghanistan","RUS","Russian Federation",2018,"Export",6,1665.685
"S4","AFG"," Total","Afghanistan","SAU","Saudi Arabia",2018,"Export",6,6604.192
"S4","AFG"," Total","Afghanistan","SGP","Singapore",2018,"Export",6,60.31
"S4","AFG"," Total","Afghanistan","SVK","Slovak Republic",2018,"Export",6,0
"S4","AFG"," Total","Afghanistan","SWE","Sweden",2018,"Export",6,106.233
"S4","AFG"," Total","Afghanistan","SWZ","Eswatini",2018,"Export",6,0.105
"S4","AFG"," Total","Afghanistan","THA","Thailand",2018,"Export",6,32.621
"S4","AFG"," Total","Afghanistan","TJK","Tajikistan",2018,"Export",6,3449.017
"S4","AFG"," Total","Afghanistan","TKM","Turkmenistan",2018,"Export",6,893.43
"S4","AFG"," Total","Afghanistan","TUN","Tunisia",2018,"Export",6,4.027
"S4","AFG"," Total","Afghanistan","TUR","Turkey",2018,"Export",6,21007.467
"S4","AFG"," Total","Afghanistan","UGA","Uganda",2018,"Export",6,17.388
"S4","AFG"," Total","Afghanistan","UKR","Ukraine",2018,"Export",6,177.837
"S4","AFG"," Total","Afghanistan","UNS","Unspecified",2018,"Export",6,60.365
"S4","AFG"," Total","Afghanistan","USA","United States",2018,"Export",6,1752.132
"S4","AFG"," Total","Afghanistan","UZB","Uzbekistan",2018,"Export",6,2218.409
"S4","AFG"," Total","Afghanistan","VNM","Vietnam",2018,"Export",6,899.942
"S4","AFG"," Total","Afghanistan","WLD"," World",2018,"Export",6,875241.399
"S4","AFG"," Total","Afghanistan","YEM","Yemen",2018,"Export",6,26.415
"S4","AFG"," Total","Afghanistan","ZAF","South Africa",2018,"Export",6,0
"S4","AGO"," Total","Angola","AFG","Afghanistan",2018,"Export",6,19.353
"S4","AGO"," Total","Angola","ALB","Albania",2018,"Export",6,2.38
"S4","AGO"," Total","Angola","AND","Andorra",2018,"Export",6,0.326
"S4","AGO"," Total","Angola","ARE","United Arab Emirates",2018,"Export",6,884725.078
"S4","AGO"," Total","Angola","ARG","Argentina",2018,"Export",6,61.362
"S4","AGO"," Total","Angola","ARM","Armenia",2018,"Export",6,60.105
"S4","AGO"," Total","Angola","ASM","American Samoa",2018,"Export",6,12.007
"S4","AGO"," Total","Angola","ATG","Antigua and Barbuda",2018,"Export",6,422.006
"S4","AGO"," Total","Angola","AUS","Australia",2018,"Export",6,40220.092
"S4","AGO"," Total","Angola","AUT","Austria",2018,"Export",6,433.699
"S4","AGO"," Total","Angola","AZE","Azerbaijan",2018,"Export",6,600.371
"S4","AGO"," Total","Angola","BEL","Belgium",2018,"Export",6,67763.201
"S4","AGO"," Total","Angola","BEN","Benin",2018,"Export",6,804.478
"S4","AGO"," Total","Angola","BFA","Burkina Faso",2018,"Export",6,27.223
"S4","AGO"," Total","Angola","BGD","Bangladesh",2018,"Export",6,55.22
"S4","AGO"," Total","Angola","BGR","Bulgaria",2018,"Export",6,8.435
"S4","AGO"," Total","Angola","BHR","Bahrain",2018,"Export",6,1.958
"S4","AGO"," Total","Angola","BHS","Bahamas, The",2018,"Export",6,7322.893
"S4","AGO"," Total","Angola","BLR","Belarus",2018,"Export",6,54.31
"S4","AGO"," Total","Angola","BLZ","Belize",2018,"Export",6,452.078
"S4","AGO"," Total","Angola","BOL","Bolivia",2018,"Export",6,308.752
"S4","AGO"," Total","Angola","BRA","Brazil",2018,"Export",6,141486.749
"S4","AGO"," Total","Angola","BWA","Botswana",2018,"Export",6,16.917
"S4","AGO"," Total","Angola","CAF","Central African Republic",2018,"Export",6,1.439
"S4","AGO"," Total","Angola","CAN","Canada",2018,"Export",6,647164.297
"S4","AGO"," Total","Angola","CHE","Switzerland",2018,"Export",6,68768.996
"S4","AGO"," Total","Angola","CHL","Chile",2018,"Export",6,1186.577
"S4","AGO"," Total","Angola","CHN","China",2018,"Export",6,24517058.342
"S4","AGO"," Total","Angola","CIV","Cote d'Ivoire",2018,"Export",6,17252.457
"S4","AGO"," Total","Angola","CMR","Cameroon",2018,"Export",6,26838.368
"S4","AGO"," Total","Angola","COG","Congo, Rep.",2018,"Export",6,299119.102
"S4","AGO"," Total","Angola","COL","Colombia",2018,"Export",6,112.588
"S4","AGO"," Total","Angola","CPV","Cape Verde",2018,"Export",6,146.949
"S4","AGO"," Total","Angola","CUB","Cuba",2018,"Export",6,995.086
"S4","AGO"," Total","Angola","CUW","Cura�ao",2018,"Export",6,51.246
"S4","AGO"," Total","Angola","CYP","Cyprus",2018,"Export",6,142.435
"S4","AGO"," Total","Angola","CZE","Czech Republic",2018,"Export",6,268.033
"S4","AGO"," Total","Angola","DEU","Germany",2018,"Export",6,3296.312
"S4","AGO"," Total","Angola","DNK","Denmark",2018,"Export",6,11055.998
"S4","AGO"," Total","Angola","DZA","Algeria",2018,"Export",6,245.226
"S4","AGO"," Total","Angola","ECU","Ecuador",2018,"Export",6,41.91
"S4","AGO"," Total","Angola","EGY","Egypt, Arab Rep.",2018,"Export",6,773.962
"S4","AGO"," Total","Angola","ESP","Spain",2018,"Export",6,1250554.873
"S4","AGO"," Total","Angola","ETH","Ethiopia(excludes Eritrea)",2018,"Export",6,49.493
"S4","AGO"," Total","Angola","FIN","Finland",2018,"Export",6,47.989
"S4","AGO"," Total","Angola","FRA","France",2018,"Export",6,734551.345
"S4","AGO"," Total","Angola","GAB","Gabon",2018,"Export",6,5975.887
"S4","AGO"," Total","Angola","GBR","United Kingdom",2018,"Export",6,425616.975
"S4","AGO"," Total","Angola","GEO","Georgia",2018,"Export",6,0.93
"S4","AGO"," Total","Angola","GHA","Ghana",2018,"Export",6,49132.017
"S4","AGO"," Total","Angola","GIB","Gibraltar",2018,"Export",6,91.513
"S4","AGO"," Total","Angola","GIN","Guinea",2018,"Export",6,927.051
"S4","AGO"," Total","Angola","GMB","Gambia, The",2018,"Export",6,56.93
"S4","AGO"," Total","Angola","GNB","Guinea-Bissau",2018,"Export",6,38.517
"S4","AGO"," Total","Angola","GNQ","Equatorial Guinea",2018,"Export",6,2068.603
"S4","AGO"," Total","Angola","GRC","Greece",2018,"Export",6,18.504
"S4","AGO"," Total","Angola","GUY","Guyana",2018,"Export",6,12.433
"S4","AGO"," Total","Angola","HKG","Hong Kong, China",2018,"Export",6,23811.982
"S4","AGO"," Total","Angola","HRV","Croatia",2018,"Export",6,87.325
"S4","AGO"," Total","Angola","HUN","Hungary",2018,"Export",6,0.097
"S4","AGO"," Total","Angola","IDN","Indonesia",2018,"Export",6,575477.283
"S4","AGO"," Total","Angola","IND","India",2018,"Export",6,3768940.47
"S4","AGO"," Total","Angola","IRL","Ireland",2018,"Export",6,1830.625
"S4","AGO"," Total","Angola","IRN","Iran, Islamic Rep.",2018,"Export",6,0.469
"S4","AGO"," Total","Angola","IRQ","Iraq",2018,"Export",6,276.519
"S4","AGO"," Total","Angola","ISL","Iceland",2018,"Export",6,10672.839
"S4","AGO"," Total","Angola","ISR","Israel",2018,"Export",6,452453.482
"S4","AGO"," Total","Angola","ITA","Italy",2018,"Export",6,468914.918
"S4","AGO"," Total","Angola","JPN","Japan",2018,"Export",6,264671.779
"S4","AGO"," Total","Angola","KAZ","Kazakhstan",2018,"Export",6,198.364
"S4","AGO"," Total","Angola","KEN","Kenya",2018,"Export",6,1499.694
"S4","AGO"," Total","Angola","KHM","Cambodia",2018,"Export",6,7429.042
"S4","AGO"," Total","Angola","KOR","Korea, Rep.",2018,"Export",6,146496.001
"S4","AGO"," Total","Angola","KWT","Kuwait",2018,"Export",6,125073.214
"S4","AGO"," Total","Angola","LAO","Lao PDR",2018,"Export",6,172.499
"S4","AGO"," Total","Angola","LBN","Lebanon",2018,"Export",6,798.983
"S4","AGO"," Total","Angola","LBR","Liberia",2018,"Export",6,12.657
"S4","AGO"," Total","Angola","LBY","Libya",2018,"Export",6,40.722
"S4","AGO"," Total","Angola","LSO","Lesotho",2018,"Export",6,1.598
"S4","AGO"," Total","Angola","LTU","Lithuania",2018,"Export",6,1.897
"S4","AGO"," Total","Angola","LVA","Latvia",2018,"Export",6,128.739
"S4","AGO"," Total","Angola","MAC","Macao",2018,"Export",6,20529.716
"S4","AGO"," Total","Angola","MAR","Morocco",2018,"Export",6,1453.082
"S4","AGO"," Total","Angola","MDG","Madagascar",2018,"Export",6,3.267
"S4","AGO"," Total","Angola","MEX","Mexico",2018,"Export",6,325.438
"S4","AGO"," Total","Angola","MHL","Marshall Islands",2018,"Export",6,2830.465
"S4","AGO"," Total","Angola","MLI","Mali",2018,"Export",6,65.198
"S4","AGO"," Total","Angola","MLT","Malta",2018,"Export",6,2317.839
"S4","AGO"," Total","Angola","MOZ","Mozambique",2018,"Export",6,1234.247
"S4","AGO"," Total","Angola","MRT","Mauritania",2018,"Export",6,388.605
"S4","AGO"," Total","Angola","MWI","Malawi",2018,"Export",6,215.558
"S4","AGO"," Total","Angola","MYS","Malaysia",2018,"Export",6,242727.975
"S4","AGO"," Total","Angola","NAM","Namibia",2018,"Export",6,327921.516
"S4","AGO"," Total","Angola","NGA","Nigeria",2018,"Export",6,23077.163
"S4","AGO"," Total","Angola","NIU","Niue",2018,"Export",6,9.395
"S4","AGO"," Total","Angola","NLD","Netherlands",2018,"Export",6,162760.789
"S4","AGO"," Total","Angola","NOR","Norway",2018,"Export",6,31884.361
"S4","AGO"," Total","Angola","NZL","New Zealand",2018,"Export",6,1.175
"S4","AGO"," Total","Angola","OAS","Other Asia, nes",2018,"Export",6,145025.028
"S4","AGO"," Total","Angola","OMN","Oman",2018,"Export",6,72.348
"S4","AGO"," Total","Angola","PAK","Pakistan",2018,"Export",6,451.589
"S4","AGO"," Total","Angola","PAN","Panama",2018,"Export",6,110642.489
"S4","AGO"," Total","Angola","PCN","Pitcairn",2018,"Export",6,14.498
"S4","AGO"," Total","Angola","PER","Peru",2018,"Export",6,6.538
"S4","AGO"," Total","Angola","PHL","Philippines",2018,"Export",6,7.069
"S4","AGO"," Total","Angola","PNG","Papua New Guinea",2018,"Export",6,4.026
"S4","AGO"," Total","Angola","POL","Poland",2018,"Export",6,281.221
"S4","AGO"," Total","Angola","PRK","Korea, Dem. Rep.",2018,"Export",6,0.001
"S4","AGO"," Total","Angola","PRT","Portugal",2018,"Export",6,1074137.369
"S4","AGO"," Total","Angola","PRY","Paraguay",2018,"Export",6,827.555
"S4","AGO"," Total","Angola","QAT","Qatar",2018,"Export",6,1239.825
"S4","AGO"," Total","Angola","ROM","Romania",2018,"Export",6,207.742
"S4","AGO"," Total","Angola","RUS","Russian Federation",2018,"Export",6,3993.908
"S4","AGO"," Total","Angola","RWA","Rwanda",2018,"Export",6,2.654
"S4","AGO"," Total","Angola","SAU","Saudi Arabia",2018,"Export",6,489.901
"S4","AGO"," Total","Angola","SEN","Senegal",2018,"Export",6,7169.871
"S4","AGO"," Total","Angola","SER","Serbia, FR(Serbia/Montenegro)",2018,"Export",6,2.028
"S4","AGO"," Total","Angola","SGP","Singapore",2018,"Export",6,513982.584
"S4","AGO"," Total","Angola","SLE","Sierra Leone",2018,"Export",6,1153.74
"S4","AGO"," Total","Angola","SOM","Somalia",2018,"Export",6,0.716
"S4","AGO"," Total","Angola","STP","Sao Tome and Principe",2018,"Export",6,25955.409
"S4","AGO"," Total","Angola","SUD","Sudan",2018,"Export",6,1.676
"S4","AGO"," Total","Angola","SWE","Sweden",2018,"Export",6,8.321
"S4","AGO"," Total","Angola","SWZ","Eswatini",2018,"Export",6,1249.753
"S4","AGO"," Total","Angola","SYC","Seychelles",2018,"Export",6,114191.45
"S4","AGO"," Total","Angola","TCA","Turks and Caicos Isl.",2018,"Export",6,15.587
"S4","AGO"," Total","Angola","TCD","Chad",2018,"Export",6,1157.368
"S4","AGO"," Total","Angola","TGO","Togo",2018,"Export",6,12419.362
"S4","AGO"," Total","Angola","THA","Thailand",2018,"Export",6,649626.328
"S4","AGO"," Total","Angola","TKM","Turkmenistan",2018,"Export",6,1.025
"S4","AGO"," Total","Angola","TTO","Trinidad and Tobago",2018,"Export",6,162.046
"S4","AGO"," Total","Angola","TUN","Tunisia",2018,"Export",6,146.781
"S4","AGO"," Total","Angola","TUR","Turkey",2018,"Export",6,1670.516
"S4","AGO"," Total","Angola","TZA","Tanzania",2018,"Export",6,423.136
"S4","AGO"," Total","Angola","UGA","Uganda",2018,"Export",6,12.349
"S4","AGO"," Total","Angola","UKR","Ukraine",2018,"Export",6,156.077
"S4","AGO"," Total","Angola","UNS","Unspecified",2018,"Export",6,423008.886
"S4","AGO"," Total","Angola","URY","Uruguay",2018,"Export",6,320586.229
"S4","AGO"," Total","Angola","USA","United States",2018,"Export",6,1470132.736
"S4","AGO"," Total","Angola","VCT","St. Vincent and the Grenadines",2018,"Export",6,27217.115
"S4","AGO"," Total","Angola","VEN","Venezuela",2018,"Export",6,15.577
"S4","AGO"," Total","Angola","VNM","Vietnam",2018,"Export",6,27801.932
"S4","AGO"," Total","Angola","VUT","Vanuatu",2018,"Export",6,19046.411
"S4","AGO"," Total","Angola","WLD"," World",2018,"Export",6,42096736.311
"S4","AGO"," Total","Angola","ZAF","South Africa",2018,"Export",6,1161852.097
"S4","AGO"," Total","Angola","ZAR","Congo, Dem. Rep.",2018,"Export",6,104759.112
"S4","AGO"," Total","Angola","ZMB","Zambia",2018,"Export",6,114.164
"S4","AGO"," Total","Angola","ZWE","Zimbabwe",2018,"Export",6,33.804
"S4","ALB"," Total","Albania","AGO","Angola",2018,"Export",6,48.148
"S4","ALB"," Total","Albania","AIA","Anguila",2018,"Export",6,78.099
"S4","ALB"," Total","Albania","ARE","United Arab Emirates",2018,"Export",6,7436.315
"S4","ALB"," Total","Albania","ARG","Argentina",2018,"Export",6,43.75
"S4","ALB"," Total","Albania","ARM","Armenia",2018,"Export",6,11.626
"S4","ALB"," Total","Albania","AUS","Australia",2018,"Export",6,1196.998
"S4","ALB"," Total","Albania","AUT","Austria",2018,"Export",6,18037.635
"S4","ALB"," Total","Albania","AZE","Azerbaijan",2018,"Export",6,14.829
"S4","ALB"," Total","Albania","BDI","Burundi",2018,"Export",6,4.231
"S4","ALB"," Total","Albania","BEL","Belgium",2018,"Export",6,3687.968
"S4","ALB"," Total","Albania","BEN","Benin",2018,"Export",6,11.51
"S4","ALB"," Total","Albania","BGR","Bulgaria",2018,"Export",6,27211.8
"S4","ALB"," Total","Albania","BHR","Bahrain",2018,"Export",6,48.46
"S4","ALB"," Total","Albania","BHS","Bahamas, The",2018,"Export",6,38.586
"S4","ALB"," Total","Albania","BIH","Bosnia and Herzegovina",2018,"Export",6,12984.263
"S4","ALB"," Total","Albania","BLR","Belarus",2018,"Export",6,75.067
"S4","ALB"," Total","Albania","BLZ","Belize",2018,"Export",6,7.84
"S4","ALB"," Total","Albania","BRA","Brazil",2018,"Export",6,387.945
"S4","ALB"," Total","Albania","CAN","Canada",2018,"Export",6,1150.568
"S4","ALB"," Total","Albania","CHE","Switzerland",2018,"Export",6,27176.301
"S4","ALB"," Total","Albania","CHL","Chile",2018,"Export",6,91.825
"S4","ALB"," Total","Albania","CHN","China",2018,"Export",6,52735.388
"S4","ALB"," Total","Albania","CIV","Cote d'Ivoire",2018,"Export",6,486.599
"S4","ALB"," Total","Albania","COG","Congo, Rep.",2018,"Export",6,31.991
"S4","ALB"," Total","Albania","COL","Colombia",2018,"Export",6,5.669
"S4","ALB"," Total","Albania","CRI","Costa Rica",2018,"Export",6,22.116
"S4","ALB"," Total","Albania","CYM","Cayman Islands",2018,"Export",6,159.988
"S4","ALB"," Total","Albania","CYP","Cyprus",2018,"Export",6,255.667
"S4","ALB"," Total","Albania","CZE","Czech Republic",2018,"Export",6,41876.416
"S4","ALB"," Total","Albania","DEU","Germany",2018,"Export",6,124480.588
"S4","ALB"," Total","Albania","DJI","Djibouti",2018,"Export",6,32.049
"S4","ALB"," Total","Albania","DNK","Denmark",2018,"Export",6,10251.507
"S4","ALB"," Total","Albania","DZA","Algeria",2018,"Export",6,24.939
"S4","ALB"," Total","Albania","EGY","Egypt, Arab Rep.",2018,"Export",6,3249.01
"S4","ALB"," Total","Albania","ESP","Spain",2018,"Export",6,223944.895
"S4","ALB"," Total","Albania","EST","Estonia",2018,"Export",6,8409.864
"S4","ALB"," Total","Albania","FIN","Finland",2018,"Export",6,587.399
"S4","ALB"," Total","Albania","FRA","France",2018,"Export",6,31587.234
"S4","ALB"," Total","Albania","GBR","United Kingdom",2018,"Export",6,10609.379
"S4","ALB"," Total","Albania","GEO","Georgia",2018,"Export",6,171.516
"S4","ALB"," Total","Albania","GHA","Ghana",2018,"Export",6,21.751
"S4","ALB"," Total","Albania","GIN","Guinea",2018,"Export",6,14.669
"S4","ALB"," Total","Albania","GNQ","Equatorial Guinea",2018,"Export",6,31.544
"S4","ALB"," Total","Albania","GRC","Greece",2018,"Export",6,121498.213
"S4","ALB"," Total","Albania","HKG","Hong Kong, China",2018,"Export",6,1094.988
"S4","ALB"," Total","Albania","HRV","Croatia",2018,"Export",6,8766.833
"S4","ALB"," Total","Albania","HUN","Hungary",2018,"Export",6,25258.268
"S4","ALB"," Total","Albania","IDN","Indonesia",2018,"Export",6,0.602
"S4","ALB"," Total","Albania","IND","India",2018,"Export",6,5709.324
"S4","ALB"," Total","Albania","IRL","Ireland",2018,"Export",6,328.75
"S4","ALB"," Total","Albania","IRN","Iran, Islamic Rep.",2018,"Export",6,137.849
"S4","ALB"," Total","Albania","IRQ","Iraq",2018,"Export",6,2028.88
"S4","ALB"," Total","Albania","ISL","Iceland",2018,"Export",6,38.428
"S4","ALB"," Total","Albania","ISR","Israel",2018,"Export",6,1380.614
"S4","ALB"," Total","Albania","ITA","Italy",2018,"Export",6,1381261.65
"S4","ALB"," Total","Albania","JAM","Jamaica",2018,"Export",6,0.671
"S4","ALB"," Total","Albania","JOR","Jordan",2018,"Export",6,23.465
"S4","ALB"," Total","Albania","JPN","Japan",2018,"Export",6,5489.547
"S4","ALB"," Total","Albania","KAZ","Kazakhstan",2018,"Export",6,337.1
"S4","ALB"," Total","Albania","KEN","Kenya",2018,"Export",6,0.929
"S4","ALB"," Total","Albania","KGZ","Kyrgyz Republic",2018,"Export",6,11.696
"S4","ALB"," Total","Albania","KHM","Cambodia",2018,"Export",6,20.828
"S4","ALB"," Total","Albania","KOR","Korea, Rep.",2018,"Export",6,277.2
"S4","ALB"," Total","Albania","KWT","Kuwait",2018,"Export",6,289.947
"S4","ALB"," Total","Albania","LBN","Lebanon",2018,"Export",6,709.226
"S4","ALB"," Total","Albania","LBY","Libya",2018,"Export",6,1799.418
"S4","ALB"," Total","Albania","LKA","Sri Lanka",2018,"Export",6,38.364
"S4","ALB"," Total","Albania","LTU","Lithuania",2018,"Export",6,755.633
"S4","ALB"," Total","Albania","LUX","Luxembourg",2018,"Export",6,20.449
"S4","ALB"," Total","Albania","LVA","Latvia",2018,"Export",6,311.91
"S4","ALB"," Total","Albania","MAC","Macao",2018,"Export",6,31.938
"S4","ALB"," Total","Albania","MAR","Morocco",2018,"Export",6,1320.362
"S4","ALB"," Total","Albania","MDA","Moldova",2018,"Export",6,395.408
"S4","ALB"," Total","Albania","MEX","Mexico",2018,"Export",6,2167.659
"S4","ALB"," Total","Albania","MHL","Marshall Islands",2018,"Export",6,1677.784
"S4","ALB"," Total","Albania","MKD","North Macedonia",2018,"Export",6,79142.377
"S4","ALB"," Total","Albania","MLI","Mali",2018,"Export",6,290.469
"S4","ALB"," Total","Albania","MLT","Malta",2018,"Export",6,6849.733
"S4","ALB"," Total","Albania","MMR","Myanmar",2018,"Export",6,0.511
"S4","ALB"," Total","Albania","MNG","Mongolia",2018,"Export",6,0.401
"S4","ALB"," Total","Albania","MNT","Montenegro",2018,"Export",6,52708.526
"S4","ALB"," Total","Albania","MOZ","Mozambique",2018,"Export",6,10.946
"S4","ALB"," Total","Albania","MRT","Mauritania",2018,"Export",6,3.539
"S4","ALB"," Total","Albania","MUS","Mauritius",2018,"Export",6,29.393
"S4","ALB"," Total","Albania","MYS","Malaysia",2018,"Export",6,107.433
"S4","ALB"," Total","Albania","NGA","Nigeria",2018,"Export",6,3.154
"S4","ALB"," Total","Albania","NLD","Netherlands",2018,"Export",6,37078.503
"S4","ALB"," Total","Albania","NOR","Norway",2018,"Export",6,491.959
"S4","ALB"," Total","Albania","NZL","New Zealand",2018,"Export",6,130.406
"S4","ALB"," Total","Albania","OAS","Other Asia, nes",2018,"Export",6,7434.677
"S4","ALB"," Total","Albania","OMN","Oman",2018,"Export",6,145.121
"S4","ALB"," Total","Albania","PAK","Pakistan",2018,"Export",6,44.671
"S4","ALB"," Total","Albania","PAN","Panama",2018,"Export",6,358.57
"S4","ALB"," Total","Albania","POL","Poland",2018,"Export",6,8556.785
"S4","ALB"," Total","Albania","PRT","Portugal",2018,"Export",6,527.969
"S4","ALB"," Total","Albania","QAT","Qatar",2018,"Export",6,618.581
"S4","ALB"," Total","Albania","ROM","Romania",2018,"Export",6,44231.439
"S4","ALB"," Total","Albania","RUS","Russian Federation",2018,"Export",6,855.521
"S4","ALB"," Total","Albania","SAU","Saudi Arabia",2018,"Export",6,1316.459
"S4","ALB"," Total","Albania","SEN","Senegal",2018,"Export",6,245.638
"S4","ALB"," Total","Albania","SER","Serbia, FR(Serbia/Montenegro)",2018,"Export",6,325425.974
"S4","ALB"," Total","Albania","SGP","Singapore",2018,"Export",6,1177.751
"S4","ALB"," Total","Albania","SLE","Sierra Leone",2018,"Export",6,122.768
"S4","ALB"," Total","Albania","SLV","El Salvador",2018,"Export",6,0.833
"S4","ALB"," Total","Albania","SMR","San Marino",2018,"Export",6,215.823
"S4","ALB"," Total","Albania","SVK","Slovak Republic",2018,"Export",6,5580.625
"S4","ALB"," Total","Albania","SVN","Slovenia",2018,"Export",6,31339.214
"S4","ALB"," Total","Albania","SWE","Sweden",2018,"Export",6,21658.266
"S4","ALB"," Total","Albania","SWZ","Eswatini",2018,"Export",6,2.325
"S4","ALB"," Total","Albania","SYR","Syrian Arab Republic",2018,"Export",6,11.753
"S4","ALB"," Total","Albania","TCA","Turks and Caicos Isl.",2018,"Export",6,138.263
"S4","ALB"," Total","Albania","TCD","Chad",2018,"Export",6,13.824
"S4","ALB"," Total","Albania","TGO","Togo",2018,"Export",6,55.758
"S4","ALB"," Total","Albania","THA","Thailand",2018,"Export",6,226.922
"S4","ALB"," Total","Albania","TKM","Turkmenistan",2018,"Export",6,103.178
"S4","ALB"," Total","Albania","TUN","Tunisia",2018,"Export",6,288.973
"S4","ALB"," Total","Albania","TUR","Turkey",2018,"Export",6,19943.11
